,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105
29,Среда,900 - 1025,Компьютерные технологии/доцент  Ефанов Н.Н./Акт. Зал,,,,,,,,Алгебра 417 ГК,Среда,900 - 1025,Теория поля            507а ГК,Теория поля             509 ГК,,Теория поля            511 ГК,,,,,,,,,,Общая физика 512 ГК,Среда,900 - 1025,Аналитическая механика 414 ГК ,,Общая физика              513 ГК,,,,,,, Теория вероятностей  -  доцент Животов С.Д. / 306  ауд. ,,,Среда,900 - 1025,Гармонический анализ/ доцент Редкозубова Е.Ю./ 202 НК,,,,,,,Среда,900 - 1025,Теория поля/доцент Андрейчиков М.А./ 239 НК,,,,,,,,Среда,900 - 1025,,Практикум по алгоритмам обработки строк и теории чисел УЛК 1 №5.16,Макроэкономика/ лекция/ Андреев М.В./УЛК 2 № 424,,ТиПМС ,,Теория колец и полей ,ТиПМС 422 ГК,,Макроэкономика/ лекция/ Андреев М.В./УЛК 2 № 424,,,,,,Теория колец и полей ,,Физическая культура,,,,Среда,900 - 1025,Гармонический анализ/ доцент Редкозубова Е.Ю./ 202 НК,,,,Физическая культура, Основы физической химии: лаб.практикум,,Среда,900 - 1025,Общая физика: лабораторный практикум,Общая физика: лабораторный практикум,Общая физика: лабораторный практикум,Среда,900 - 1025,Физическая культура,,Среда,900 - 1025,Иностранный язык,Иностранный язык,
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,1045 - 1210,Микроконтроллеры/старший преподаватель Трещалин А.П./ Акт. Зал,,,,,,,,,,1045 - 1210,Общая физика:оптика/ доцент Петухов В.А./  Гл.Физ.,,,,,,,,,,,,,,,1045 - 1210,Аналитическая механика/ профессор Амелькин Н.И./ 239 НК,,,,,,,,Теория случайных проц./ доцент Булинский А.В./ 411 ГК,Гармонический анализ /доцент Ковалев В. П./ 306 ауд.   ,,,,1045 - 1210,Дифференциальные уравнения/ доцент Семенов А.Ю./ 202 НК,,,,,,,,1045 - 1210,"Теория поля 
509 ГК",,,Дифференциальные уравнения 413 ГК,Алгоритмы и модели вычислений 515 ГК,Алгоритмы и модели вычислений 428 ГК,,Гармонический анализ 416 ГК,,1045 - 1210,Гармонический анализ  419 ГК,Практикум по объектно-ориентированному программированию УЛК 2 № 425,Физическая культура,,АКОС  9244,,,,,,ТиПМС ,Дискретные структуры 420 ГК,АКОС  701 КПМ,,,ТиПМС ,,,Технологии программирования/Старший преподаватель Ахтямов П.И./ Б.Физ,,,,1045 - 1210,Дифференциальные уравнения/ доцент Семенов А.Ю./ 202 НК,,,Физ.химия (по чет.нед) 512 ГК,,,,,1045 - 1210,,,,,1045 - 1210,Гармонический анализ/старший преподаватель Скубачевский А.А. /521 ГК,,,1045 - 1210,Математическая статистика/доцент Савелов М.П./ УЛК 1 № 2.36,,3.0
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,1220 - 1345,Аналитическая механика 426 ГК,,,"Компьютерные технологии  
",Гармонический анализ   418 ГК,,,,,,1220 - 1345,Аналитическая механика/ профессор Маркеев А.П./ Акт.зал/ профессор Холостова О.В. / 113 ГК,,,,,,,,,,,,,,,1220 - 1345,Теория вероятностей/ профессор Широков М.Е./ 123 ГК,,,,,,,,Общая физика    507а ГК,,,,,1220 - 1345,Дифференциальные уравнения 422 ГК,,,Аналитическая механика 428 ГК,,,,,1220 - 1345,Дифференциальные уравнения/ доцент Пыркова О.А./ 115 КПМ,,,,,,,,,1220 - 1345,Дифференциальные уравнения 419 ГК,,Иностранный язык,,,,ТиПМС  ,Теория колец и полей 302 КПМ,,Иностранный язык,Дискретный анализ 525 ГК,,Теория колец и полей 533 ГК,,,,,,Дифференциальные уравнения/ доцент Пыркова О.А./ 115 КПМ,,,,1220 - 1345,Теория поля/ доцент Черняков Ю.Б./432 ГК,,,,Физ.химия (по чет.нед) 509 ГК,Общая физика     УЛК 2 № 425,Общая физика     УЛК 1 № 5.16,,1220 - 1345,Общая физика: оптика/ доцент Ситников М.Г. / 532 ГК,,Иностранный язык 527 ГК,,1220 - 1345,,,,1220 - 1345,,,
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Теория динамических систем 524 ГК,,,,,
35,,1355 - 1520,Физическая культура,"Компьютерные технологии  
",,,Физическая культура,Общая физика: лабораторный практикум,Общая физика: лабораторный практикум,,Дифференциальные уравнения 409 ГК,,1355 - 1520,Аналитическая механика 409 ГК,,Аналитическая механика 411 ГК,Аналитическая механика 417 ГК,Общая физика            526 ГК,Теория поля          520 ГК,Теория поля          522 ГК,Аналитическая механика 420 ГК,Общая физика  507а ГК,Теория поля          523 ГК,Аналитическая механика 412 ГК,,Аналитическая механика 413 ГК,Аналитическая механика 414 ГК,,1355 - 1520,"Теория вероятностей 
416 ГК",,,,Общая физика: лабораторный практикум,Физическая культура,Общая физика: лабораторный практикум,,Физическая культура,Компьютерные технологии 214 ауд.    ,Аналитическая механика  419 ауд.,Общая физика               420 ауд.,,1355 - 1520,Гармонический анализ  422 ГК,"Общая физика
533 ГК",Общая физика: лабораторный практикум,Физическая культура,Электроника 201 ЛВЭ,Дифференциальные уравнения 424 ГК,Электроника 201 ЛВЭ,,1355 - 1520,,Гармонический анализ 426 ГК,Гармонический анализ 428 ГК,Аналитическая механика 418 ГК,Общая физика  430 ГК   ,Теория вычислительной сложности 518 ГК,Гармонический анализ 509 ГК,,,1355 - 1520,Практикум по объектно-ориентированному программированию 208 УПМ,,Иностранный язык,,,Дискретный анализ 204а ГК,АКОС ,,,Иностранный язык,"А.К. 1 из 2: Конкретная дифференциальная топология/ лекция/ (для ПМИ-Матем.)/ Скопенков А.Б. /525 ГК
 ",,,,,Базы данных ,,Гармонический анализ  516  ГК,Дискретный анализ УЛК 1 № 5.16,,Физическая культура,,1355 - 1520,,,Физ.химия (по чет.нед) 529 ГК,,,,Физ.химия (по чет.нед) 530 ГК,,1355 - 1520,,Общая физика: оптика 528 ГК,,,1355 - 1520,Гармонический анализ 512 ГК,,,1355 - 1520,Математическая статистика 511 ГК,,
36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,1530 - 1655,,,,,,,,Гармонический анализ   419  ГК,Методы обработки радиотехнических сигналов,,1530 - 1655,,Аналитическая механика 409 ГК,Физическая культура,,,,,,Аналитическая механика 411 ГК,Аналитическая механика 412 ГК,Физическая культура,Аналитическая механика 413 ГК,,,,1530 - 1655,,,Аналитическая механика 523 ГК,,,,,,Теория случайных проц. 420 ГК,Аналитическая механика  419 ауд.,Компьютерные технологии 214 ауд.    ,Общая физика: лаб. практикум,,1530 - 1655,,Аналитическая механика 524 ГК,,,,Аналитическая механика 418 ГК,,,1530 - 1655,Гармонический анализ 426 ГК,Аналитическая механика 522 ГК,Дифференциальные уравнения 428 ГК,,,,Дифференциальные уравнения 509 ГК,,,1530 - 1655,,,ТиПМС  702 КПМ,,,,,,,Теория вероятностей УЛК 1 № 5.16,"А.К. 1 из 2: Конкретная дифференциальная топология/ лекция/ (для ПМИ-Матем.)/ Скопенков А.Б. /525 ГК
 ",Физическая культура,Теория вероятностей 426 ГК,,,,,,Алгоритмы и структуры данных/ Кулапин А.Е./ 239 НК,,,,1530 - 1655, Физическая химия: лаб.практикум,"Теория поля 
520  ГК",,Биохимия / 107 БК,,,,,1530 - 1655,Общая физика: оптика 528 ГК,,,,1530 - 1655,,Гармонический анализ 422 ГК,,1530 - 1655,,Математическая логика и теория алгоритмов,5.0
38,,,,,,,,,,,,,,Гармонический анализ (модерн.) 414 ГК/ (классич.) 417 ГК,,,Гармонический анализ (классич.) 417 ГК/ (модерн.2) 518 ГК,Гармонический анализ (модерн.1)414 ГК / (модерн.2) 518 ГК/(классич.) 417 ГК,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Прикладные вычисления,,,,,,
39,,1705 - 1830,Общая физика              507а ГК,,Физическая культура,Аналитическая механика 420 ГК,,,Общая физика             509 ГК,Дифференциальные уравнения 419 ГК,,,1705 - 1830,,Общая физика           УЛК 1 № 2.35,,,,,,Физическая культура,,,,Физическая культура,,,,1705 - 1830,Прикладные физ.-тех. и комп.методы исследований:лаб.практ. 107 ЛК ,,Физическая культура,,,,,,,Теория вероятностей 306 ауд.,Теория вероятностей 306 ауд.,Физическая культура,,1705 - 1830,Аналитическая механика 524 ГК,,,Общая физика             513 ГК,,Гармонический анализ 413 ГК,Физическая культура,,1705 - 1830,,,Аналитическая механика 424 ГК,Программирование на языке Python 801 КПМ,Базы данных 706 КПМ,Физическая культура,Общая физика       521 ГК,Аналитическая механика 426 ГК,,1705 - 1830,,Дискретные структуры 420 ГК,Занятия в г. Москве,,,,,,,,,,ТиПМС 521 ГК,,,,,,,,,,1705 - 1830,,Гармонический анализ 512 ГК,Физическая культура,,Общая физика             509 ГК,,Физическая культура,,1705 - 1830,Физическая культура,Физическая культура,Физическая культура,,1705 - 1830,,,,1705 - 1830,Математическая логика и теория алгоритмов/Старший преподаватель Зухба А. В./ 123 ГК,,
40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Общая физика             511 ГК,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,1835 - 2000,,,,,,,Аналитическая механика 420 ГК,,,,1835 - 2000,,,Общая физика           УЛК 1 № 2.35,,,,,,,,,,,,,1835 - 2000,,,,,,,,,,Физическая культура,Физическая культура,,,1835 - 2000,,,,,Общая физика               521 ГК,,,,1835 - 2000,Физическая культура,Базы данных 320 ЛК,,Физическая культура,Физическая культура,Аналитическая механика 424 ГК,,,,1835 - 2000,,,Теория игр. Часть 2 УЛК 2 №425,Архитектура компьютеров и операционные системы / Ассистент Андреев А.Н./ УЛК 2 поточ. ауд. 4 эт.,,,,,,Теория игр. Часть 2 УЛК 2 №425,,Архитектура компьютеров и операционные системы / Ассистент Андреев А.Н./ УЛК 2 поточ. ауд. 4 эт.,,,,,,,Физическая культура,Физическая культура,,,1835 - 2000,,Физ.химия (по чет.нед) 409 ГК,,Биохимия,Биохимия,Биохимия,Биохимия,,1835 - 2000,Занятия в г. Долгопрудном,,,,1835 - 2000,Физическая культура,Физическая культура,,1835 - 2000,Разработка на Flutter,,
42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Четверг,900 - 1025,Иностранный язык,Иностранный язык,Иностранный язык,Иностранный язык,Иностранный язык,Иностранный язык,Иностранный язык,Иностранный язык,Иностранный язык,Четверг,900 - 1025,Физическая культура,Физическая культура,,Общая физика              513 ГК,,,,,,,,,Физическая культура,,Четверг,900 - 1025,Иностранный язык,,Иностранный язык,,Иностранный язык,Иностранный язык,Иностранный язык,,Иностранный язык,Введение в аэродинамику/ профессор Ляпунов С.В. / 306  ауд.  ,,,Четверг,900 - 1025,Общая физика: оптика /профессор Гавриков А.В./ Гл.Физ.,,,,,,,Четверг,900 - 1025,Общая физика: лабораторный практикум,Общая физика: лабораторный практикум,Общая физика: лабораторный практикум,Общая физика: лабораторный практикум,Дифференциальные уравнения 428 ГК,,Общая физика: лабораторный практикум,Общая физика: лабораторный практикум,Четверг,900 - 1025,,,Сложность вычислений 420 ГК,,,,,,,,,,Физическая культура,,,,,,,Гармонический анализ 420 ГК,,Четверг,900 - 1025,Общая физика: оптика/ профессор Гавриков А.В./ Гл.Физ.,,,Общая физика: лабораторный практикум,,,,Четверг,900 - 1025,,,Теория функций комплексного переменного/ассистент Клевин А./ 420 ГК,Четверг,900 - 1025,Теория динамических систем 512 ГК,,Четверг,900 - 1025,Основы машинного обучения,,6.0
45,,1045 - 1210,Общая физика: оптика/ доцент Попов П.В./ Гл.Физ.,,,,,,,,,,1045 - 1210,Иностранный язык,Иностранный язык,Иностранный язык,Иностранный язык,Иностранный язык,Иностранный язык,Иностранный язык,Иностранный язык,Иностранный язык,Иностранный язык,Иностранный язык,Иностранный язык,Иностранный язык,Иностранный язык,,1045 - 1210,Общая физика: оптика/ доцент Попов П.В./ Гл.Физ.,,,,,,,,,Дифференциальные уравнения/ доцент Животов С.Д./ 306 ауд,,,,1045 - 1210,Иностранный язык,Иностранный язык,Аналитическая механика 422 ГК,Дифференциальные уравнения 428 ГК,,Общая физика              523 ГК,Дифференциальные уравнения 419 ГК,,1045 - 1210,,,,,,Программирование на языке Python 806 КПМ,,,,1045 - 1210,Гармонический анализ/доцент Редкозубов В.В./ Б.Физ.,,,,,,,,,,,,,,,,,,Гармонический анализ  426  ГК,,Дискретный анализ 518 ГК,,1045 - 1210,,,,,Физическая культура,Физическая культура,Физическая культура,,1045 - 1210,Физическая культура,Физическая культура,Теория функций комплексного переменного  420 ГК,,1045 - 1210,,Физическая культура,,1045 - 1210,Физическая культура,,
46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,1220 - 1345,,Общая физика            518 ГК,Аналитическая механика 516а ГК,Гармонический анализ  418 ГК,,Общая физика              УЛК 1 № 2.36,Дифференциальные уравнения 426 ГК,,Теория и технология программир. /,,1220 - 1345,Дифференциальные уравнения 428 ГК,,,,,,Общая физика 507а ГК,Общая физика 520 ГК,,,Общая физика  522 ГК,Общая физика             523 ГК,,,,1220 - 1345,Введение в механику сплошных сред: гидрогазодинамика /  доцент Крикунова А.И. / 117 ГК/,,,,Основы радиотехники/доцент Григорьев А.А./ 409 ГК,Введение в механику сплошных сред: гидрогазодинамика /  доцент Крикунова А.И. / 117 ГК/,,,,,,,,1220 - 1345,Химическая физика/ профессор Разумов В.Ф./432 ГК,,Иностранный язык,Иностранный язык,Иностранный язык,Иностранный язык,Иностранный язык,,1220 - 1345,Иностранный язык,Иностранный язык,Иностранный язык,Иностранный язык,Иностранный язык,Иностранный язык,Иностранный язык,Иностранный язык,,1220 - 1345,,,Гармонический анализ 509 ГК,,Дискретный анализ/ профессор Райгородский А.М. 115 КПМ ,,,Дискретный анализ/ профессор Райгородский А.М. 115 КПМ ,,,Дискретный анализ/ профессор Райгородский А.М. 115 КПМ ,,,,,,,,Дискретный анализ/ профессор Райгородский А.М. 115 КПМ ,,,,1220 - 1345,Биоорганическая и биологическая химия/ доцент Куликов Е.Е./123 ГК,,,,,,,,1220 - 1345,Дифференциальные уравнения./532 ГК,,,,1220 - 1345,Общая физика: волны и кванты/доцент Лапушкин Г.И./Гл.Физ.,,,1220 - 1345,,,
48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,1355 - 1520,Аналитическая механика/ доцент Фомичев А.В./ Акт.зал,,,,,,,,,,1355 - 1520,,,Дифференциальные уравнения 428 ГК,,Общая физика: лабораторный практикум,Гармонический анализ (классич.)415 ГК/ (модерн.) 426 ГК,Гармонический анализ (классич.) 415 ГК/ (модерн.) 426 ГК,Общая физика: лабораторный практикум,Общая физика: лабораторный практикум,Физическая культура,Физическая культура,Общая физика: лабораторный практикум,Общая физика: лабораторный практикум,Общая физика: лабораторный практикум,,1355 - 1520,,,,,Дифференциальные уравнения  416  ГК,,,,Теория и технология программир.206 УПМ,Физическая культура,,,,1355 - 1520,Химическая физика 409 ГК,Химическая физика 411 ГК,Физическая культура,Физическая культура,Дифференциальные уравнения 511 ГК,Физическая культура,,,1355 - 1520,Гармонический анализ/доцент Гусев Н.А./239 НК,,,,,,,,,1355 - 1520,Теория вероятностей 527 ГК,ТиПМС  324а ЛК,,,Гармонический анализ 512 ГК,Дифференциальные уравнения 513 ГК,Физическая культура,,,Дискретный анализ УЛК 2 № 425,Теория колец и полей 523 ГК,Теория вероятностей 516а ГК,,,,,,,Гармонический анализ/доцент Гусев Н.А./239 НК,,,,1355 - 1520,Иностранный язык,Иностранный язык,Иностранный язык,Иностранный язык,Иностранный язык,Иностранный язык,Иностранный язык,,1355 - 1520,,,Физическая культура,,1355 - 1520,Общая физика: волны и кванты 507а ГК,Общая физика: волны и кванты 509 ГК,,1355 - 1520,Иностранный язык,Иностранный язык,
50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0
51,,1530 - 1655,Физическая культура,,,,Аналитическая механика 512 ГК,,,Физическая культура,,,1530 - 1655,,,,,,,,,,,,,,,,1530 - 1655,Лабораторный практикум по механике сплошных сред: гидрогазодин.  (чет.нед.) кафедра физической механики (корпус УПМ),,Лабораторный практикум по механике сплошных сред: гидрогазодин.  (чет.нед.) кафедра физической механики (корпус УПМ),,,Лабораторный практикум по механике сплошных сред: гидрогазодин.  (нечет.нед.) кафедра физической механики (корпус УПМ),Аналитическая механика 513 ГК ,,,Основы почности / 423 ауд.,Основы почности/ 422  ауд.,  Компьютерное моделирование гидродинамических систем/Матяш И. С./250 ,,1530 - 1655,,,,,Физическая культура,,Гармонический анализ 419  ГК,,1530 - 1655,,,,,Гармонический анализ 420 ГК,,,,,1530 - 1655,Иностранный язык,Иностранный язык,Теория игр. Часть 2/ лекция/ Мусатов Д.В./Ильинский Д.Г./ ,Иностранный язык,Иностранный язык,Иностранный язык,Иностранный язык,Иностранный язык,,Теория игр. Часть 2/ лекция/ Мусатов Д.В./Ильинский Д.Г./ ,Иностранный язык,Иностранный язык,Иностранный язык,,,Иностранный язык,,Иностранный язык,Иностранный язык,Иностранный язык,Иностранный язык,,1530 - 1655,Дифференциальные уравнения 511 ГК   ,,,Анатомия и физиология человека/доцент Гайдуков А.Е./ 239 НК,,,,,1530 - 1655,,,,,1530 - 1655,,,,1530 - 1655,Гармонический анализ 428 ГК,,
52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,1705 - 1830,,Аналитическая механика 409 ГК,Дифференциальные уравнения 418 ГК,,,Физическая культура,,Аналитическая механика 512 ГК,,,1705 - 1830,,,,,,,,,,,,,,,,1705 - 1830,,,,,Гармонический анализ  419 ГК,,,,,,Физическая культура,Продвинутое программирование на С++/ Бугаев В.С. / ( по четн.нед.)/ 241 ауд.,,1705 - 1830,Математическая статистика/ профессор Райгородский А.М./ 115 КПМ ,,,,,,,,1705 - 1830,Теория вычислительной сложности/доцент Мусатов Д.В./Акт.зал,,,,,,,,,1705 - 1830,,Физическая культура,Микроэкономика/ лекция/ Тонис А.С./ УЛК 2 № 424,,,,Сложность вычислений/ доцент Мусатов Д. В./Акт.зал,Дискретный анализ 527 ГК,,Микроэкономика/ лекция/ Тонис А.С./ УЛК 2 № 424,Физическая культура,,,,Сложность вычислений/ доцент Мусатов Д. В./Акт.зал,Физическая культура,,,,,,,1705 - 1830,Математическая статистика/ профессор Райгородский А.М./ 115 КПМ ,,,Гармонический анализ/старший преподаватель Саулин С.М./ 239 НК,,,,,1705 - 1830,,,,,1705 - 1830,Физическая культура,Иностранный язык,,1705 - 1830,Гармонический анализ/старший преподаватель Саулин С.М./ 239 НК,,
